loan_id,customer_id,issue_date,due_date,loan_amount,outstanding_amount,overdue_amount,days_past_due,loan_status,product_type,interest_rate,term_months,monthly_payment,risk_score,currency
L000022,C00061,2025-08-17,2027-02-08,18078205,9082143,0,0,Active,Installment,25.83,18,1263766.96,491,UZS
L000023,C00492,2025-03-04,2027-02-22,7847571,6166739,0,0,Active,Installment,22.15,24,399408.67,569,UZS
L000024,C01733,2024-11-11,2026-05-05,15597099,15091385,3631749,53,Overdue,Credit card,43.22,18,1241009.18,599,UZS
L000025,C00973,2024-11-05,2026-10-26,1447532,1206946,0,0,Active,Microloan,32.79,24,80090.74,594,UZS
L000026,C01559,2024-03-06,2025-08-28,19072693,17903993,9766619,20,Overdue,Installment,28.67,18,1363379.67,384,UZS
L000027,C01005,2024-05-30,2027-05-15,26316198,0,0,0,Closed,Credit card,31.27,36,959590.92,483,UZS
L000028,C01544,2024-10-04,2026-09-24,3383498,0,0,0,Closed,Microloan,40.21,24,197666.77,780,UZS
L000029,C00213,2025-10-28,2028-10-12,19951547,0,0,0,Closed,Cash loan,34.26,36,744081.86,786,UZS
L000030,C01346,2025-04-04,2028-03-19,6112599,2657146,0,0,Active,Cash loan,23.15,36,209101.82,785,UZS
L000031,C00128,2025-07-06,2025-10-04,22495703,17004443,9560519,167,Overdue,Installment,41.99,3,10647216.23,532,UZS
L000032,C02157,2024-01-31,2026-01-20,4291211,2510935,0,0,Active,Cash loan,37.15,24,245224.83,646,UZS
L000033,C00364,2025-07-06,2025-10-04,31385864,0,0,0,Closed,Cash loan,42.61,3,14919793.55,818,UZS
L000034,C00703,2025-02-19,2026-02-14,20705566,11774744,0,0,Active,Credit card,32.95,12,2294004.17,721,UZS
L000035,C00718,2025-03-07,2025-09-03,2331585,1355685,0,0,Active,Microloan,30.02,6,505254.47,674,UZS
L000036,C02138,2025-05-11,2025-08-09,2367488,0,0,0,Closed,Credit card,25.42,3,989767.82,870,UZS
L000037,C00665,2025-01-17,2025-07-16,2623017,751449,0,0,Active,Credit card,26.38,6,552494.81,525,UZS
L000038,C01091,2025-02-18,2028-02-03,9386111,7402995,0,0,Active,Installment,29.05,36,336466.01,782,UZS
L000039,C01538,2024-11-11,2025-02-09,26617661,4242040,0,0,Active,Cash loan,34.79,3,11959315.09,841,UZS
L000040,C01801,2024-10-12,2026-10-02,31316640,0,0,0,Closed,Credit card,34.24,24,1751644.06,809,UZS
L000041,C00602,2025-08-06,2026-08-01,36447928,7807241,0,0,Active,Cash loan,26.74,12,3849508.66,591,UZS
L000042,C00521,2024-02-09,2025-02-03,30060451,16201993,0,0,Active,Cash loan,25.1,12,3133802.02,769,UZS
L000043,C02382,2025-05-11,2028-04-25,14688994,3295316,0,0,Active,Cash loan,31.86,36,538025.21,538,UZS
L000044,C00528,2025-03-02,2026-02-25,7876898,0,0,0,Closed,Cash loan,31.05,12,860222.9,794,UZS
L000045,C02417,2025-09-07,2027-08-28,6684391,0,0,0,Closed,Microloan,27.95,24,356361.6,758,UZS
L000046,C01314,2025-05-03,2028-04-17,19272743,7306811,0,0,Active,Credit card,40.74,36,753457.18,813,UZS
L000047,C00051,2024-09-09,2025-06-06,38245029,0,0,0,Closed,Cash loan,24.3,9,5282063.45,578,UZS
L000048,C00820,2024-07-13,2027-06-28,7192813,5442513,2693688,1,Overdue,Credit card,33.19,36,266114.1,656,UZS
L000049,C01634,2025-09-23,2027-09-13,7519028,2354833,0,0,Active,Cash loan,44.46,24,452582.83,788,UZS
L000050,C00290,2024-05-01,2024-07-30,16698613,0,0,0,Closed,Cash loan,42.25,3,7917925.66,703,UZS
L000051,C01926,2025-08-28,2027-02-19,39248597,0,0,0,Closed,Cash loan,38.01,18,3009277.15,837,UZS
L000052,C00555,2024-01-12,2024-10-08,44680290,32336829,0,0,Active,Cash loan,22.74,9,6093398.66,478,UZS
L000053,C01985,2025-03-14,2026-09-05,2689584,2115439,0,0,Active,Microloan,35.64,18,202675.1,736,UZS
L000054,C02234,2024-02-04,2026-01-24,1604851,940352,150740,171,Default,Microloan,34.63,24,90025.45,452,UZS
L000055,C02343,2025-05-06,2025-11-02,22487050,14335793,6755078,119,Overdue,Cash loan,42.41,6,5337301.32,536,UZS
L000056,C00398,2025-05-23,2026-05-18,36277143,9770044,0,0,Active,Cash loan,24.07,12,3750754.28,416,UZS
L000057,C02358,2024-07-02,2024-09-30,13191273,3232286,0,0,Active,Credit card,33.03,3,5849450.16,739,UZS
L000058,C00778,2024-07-07,2027-06-22,22724852,15561934,0,0,Active,Cash loan,33.84,36,844859.5,679,UZS
L000059,C00106,2025-07-01,2026-06-26,8566278,5395486,649992,3,Overdue,Installment,44.05,12,1028310.29,372,UZS
L000060,C02283,2024-12-31,2025-03-31,10015894,3643345,0,0,Active,Credit card,26.62,3,4227374.99,447,UZS
L000061,C01048,2024-03-16,2025-09-07,26757728,0,0,0,Closed,Cash loan,41.39,18,2101819.53,681,UZS
L000062,C01315,2025-04-07,2026-01-02,15166779,6048189,0,0,Active,Credit card,37.52,9,2317483.83,586,UZS
L000063,C01937,2024-10-18,2025-01-16,42448751,20122881,13157781,126,Overdue,Cash loan,39.08,3,19679240.96,462,UZS
L000064,C00613,2025-07-06,2025-10-04,17026162,0,0,0,Closed,Cash loan,22.96,3,6978456.27,803,UZS
L000065,C02105,2025-07-11,2027-01-02,23967763,2620531,0,0,Active,Installment,31.4,18,1749646.7,749,UZS
L000066,C00645,2024-12-12,2025-03-12,25221317,0,0,0,Closed,Credit card,39.34,3,11714461.04,813,UZS
L000067,C01404,2024-05-15,2024-11-11,22297122,10712018,0,0,Active,Credit card,23.28,6,4581315.33,550,UZS
L000068,C01770,2025-06-01,2027-05-22,19736430,0,0,0,Closed,Installment,39.18,24,1144548.47,755,UZS
L000069,C02456,2024-04-04,2025-09-26,4646128,0,0,0,Closed,Credit card,41.46,18,365134.04,552,UZS
L000070,C01551,2024-12-09,2026-06-02,21500373,15389960,5262854,13,Overdue,Cash loan,29.09,18,1541935.08,411,UZS
L000071,C01863,2025-11-19,2026-05-18,12520638,10191545,0,0,Active,Credit card,30.72,6,2727829.67,677,UZS
L000072,C01141,2024-02-28,2027-02-12,38690009,9576347,0,0,Active,Cash loan,32.65,36,1425619.36,845,UZS
L000073,C00261,2024-03-16,2027-03-01,44445534,30867606,0,0,Active,Cash loan,41.29,36,1744363.75,574,UZS
L000074,C01672,2025-02-21,2025-08-20,19656230,16357271,0,0,Active,Cash loan,25.31,6,4105203.64,677,UZS
L000075,C01575,2025-07-01,2026-03-28,4103530,3897075,510907,30,Overdue,Cash loan,27.68,9,582154.12,782,UZS
L000076,C01623,2025-03-20,2028-03-04,13447505,7869944,0,0,Active,Installment,32.29,36,494158.45,824,UZS
L000077,C00033,2025-08-24,2025-11-22,21684427,15268451,0,0,Active,Credit card,27.69,3,9229614.95,753,UZS
L000078,C00119,2024-05-18,2024-08-16,43822996,16576950,0,0,Active,Cash loan,33.22,3,19460331.76,757,UZS
L000079,C02448,2024-04-24,2025-10-16,14167536,11691844,0,0,Active,Installment,30.37,18,1026123.15,681,UZS
L000080,C02020,2025-11-08,2026-08-05,5786202,1819022,0,0,Active,Microloan,35.36,9,870244.78,752,UZS
L000081,C02478,2024-10-19,2025-07-16,18108155,9841828,3053275,34,Overdue,Cash loan,27.07,9,2556670.28,735,UZS
L000082,C01160,2025-02-11,2026-02-06,22035954,12392982,0,0,Active,Credit card,23.26,12,2263459.74,801,UZS
L000083,C01669,2024-08-28,2027-08-13,4440970,4017234,773550,14,Overdue,Installment,32.12,36,162983.6,521,UZS
L000084,C01664,2024-07-20,2025-04-16,7220330,5599896,2692906,7,Overdue,Cash loan,24.16,9,996084.64,463,UZS
L000085,C02036,2024-11-19,2025-11-14,19668398,6425008,0,0,Active,Credit card,27.02,12,2081899.93,765,UZS
L000086,C02420,2025-03-28,2026-09-19,20807222,12692552,0,0,Active,Cash loan,29.68,18,1499044.75,651,UZS
L000087,C01916,2024-11-22,2026-11-12,5130827,0,0,0,Closed,Installment,37.29,24,293504.68,490,UZS
L000088,C02178,2024-11-03,2027-10-19,20486281,5041801,0,0,Active,Installment,29.73,36,738245.9,550,UZS
L000089,C02488,2025-10-04,2027-09-24,16435242,3932979,0,0,Active,Installment,27.83,24,875382.08,496,UZS
L000090,C01959,2024-03-31,2025-09-22,30707114,16968827,0,0,Active,Credit card,32.38,18,2258337.64,746,UZS
L000091,C00991,2024-05-27,2026-05-17,43513915,0,0,0,Closed,Cash loan,31.72,24,2388188.7,762,UZS
L000092,C01062,2025-07-28,2026-01-24,24619792,0,0,0,Closed,Cash loan,33.04,6,5459028.55,652,UZS
L000093,C02432,2024-09-21,2025-03-20,32817940,0,0,0,Closed,Credit card,42.82,6,7811763.65,833,UZS
L000094,C00577,2024-09-01,2026-08-22,15238032,8573457,0,0,Active,Cash loan,27.47,24,809329.97,642,UZS
L000095,C00718,2024-10-27,2025-04-25,10963063,6096350,0,0,Active,Installment,41.19,6,2579791.44,544,UZS
L000096,C01980,2024-11-24,2027-11-09,8644104,6032511,2808804,13,Overdue,Cash loan,23.67,36,296948.98,740,UZS
L000097,C02258,2024-05-07,2024-08-05,2885267,1929597,0,0,Active,Microloan,45.83,3,1402528.29,528,UZS
L000098,C00617,2025-05-19,2026-05-14,2209195,1811689,0,0,Active,Microloan,44.92,12,266797.12,415,UZS
L000099,C01646,2025-05-04,2025-08-02,5185135,2170632,872711,56,Overdue,Microloan,29.3,3,2234793.19,635,UZS
L000100,C01179,2024-02-08,2026-01-28,34736906,20982139,11936754,39,Overdue,Cash loan,30.8,24,1893161.38,477,UZS
L000101,C00685,2025-03-06,2025-09-02,20098332,2612931,0,0,Active,Installment,38.96,6,4654773.69,670,UZS
L000102,C00782,2025-11-09,2026-08-06,33737938,11345932,0,0,Active,Credit card,33.66,9,5010458.66,794,UZS
L000103,C02402,2025-06-19,2025-12-16,42397908,21464474,0,0,Active,Cash loan,28.67,6,9092231.37,797,UZS
L000104,C02451,2024-09-20,2026-03-14,3153658,0,0,0,Closed,Credit card,22.34,18,214343.62,887,UZS
L000105,C01156,2025-11-08,2026-05-07,14990383,8495113,1516015,5,Overdue,Installment,25.77,6,3142234.12,616,UZS
L000106,C02245,2025-06-30,2028-06-14,23163805,8213321,0,0,Active,Installment,28.04,36,823859.33,618,UZS
L000107,C00017,2024-07-05,2026-06-25,26874320,0,0,0,Closed,Credit card,45.33,24,1627352.05,561,UZS
L000108,C01246,2024-11-03,2025-05-02,6498965,4779556,0,0,Active,Microloan,40.58,6,1522707.5,753,UZS
L000109,C02156,2024-05-11,2024-11-07,33215848,16939805,0,0,Active,Cash loan,42.35,6,7880459.94,782,UZS
L000110,C00277,2024-02-20,2025-02-14,7708487,2539642,0,0,Active,Installment,39.94,12,898938.06,580,UZS
L000111,C02356,2024-10-04,2025-09-29,23798496,12506746,0,0,Active,Installment,41.12,12,2798703.13,669,UZS
L000112,C00790,2025-07-08,2026-01-04,30792388,22464833,0,0,Active,Credit card,23.42,6,6333994.21,560,UZS
L000113,C00577,2025-01-28,2026-01-23,1248605,0,0,0,Closed,Installment,38.43,12,144036.99,657,UZS
L000114,C01665,2024-12-04,2025-11-29,3249603,2740710,0,0,Active,Microloan,26.13,12,341560.36,769,UZS
L000115,C01927,2024-01-06,2024-04-05,13965929,6958047,0,0,Active,Installment,25.19,3,5827982.17,536,UZS
L000116,C00236,2025-02-28,2026-02-23,9568258,0,0,0,Closed,Installment,28.24,12,1022527.84,486,UZS
L000117,C02099,2025-04-28,2026-01-23,5822452,4907582,2953865,14,Overdue,Installment,41.69,9,916648.03,553,UZS
L000118,C00172,2025-04-08,2025-07-07,8509085,0,0,0,Closed,Credit card,25.69,3,3565022.98,768,UZS
L000119,C00870,2025-02-25,2025-05-26,2517403,1641128,0,0,Active,Installment,27.36,3,1068721.49,620,UZS
L000120,C02494,2024-10-11,2026-10-01,11029994,1650750,0,0,Active,Credit card,36.58,24,627698.58,725,UZS
L000121,C02443,2025-08-12,2026-08-07,10151500,5168909,3352677,43,Overdue,Installment,33.14,12,1126308.93,680,UZS
L000122,C01450,2025-01-21,2028-01-06,19093950,15561676,0,0,Active,Credit card,35.75,36,720001.03,743,UZS
L000123,C00078,2025-08-21,2028-08-05,6709559,6107973,3750100,23,Overdue,Credit card,41.23,36,263219.73,671,UZS
L000124,C00369,2025-06-27,2026-12-19,12144216,0,0,0,Closed,Installment,25.69,18,848003.62,783,UZS
L000125,C00932,2025-03-26,2027-03-16,33859093,27475446,0,0,Active,Cash loan,37.75,24,1943370.86,595,UZS
L000126,C00274,2025-03-11,2027-03-01,24043030,12598547,6108187,85,Overdue,Installment,42.97,24,1432263.33,531,UZS
L000127,C02107,2024-10-10,2025-01-08,7340976,0,0,0,Closed,Credit card,32.3,3,3237370.42,850,UZS
L000128,C01477,2025-01-20,2027-01-10,7561524,3684468,0,0,Active,Credit card,24.37,24,391844.47,665,UZS
L000129,C01817,2024-01-03,2024-12-28,30035149,0,0,0,Closed,Cash loan,24.07,12,3105384.11,621,UZS
L000130,C00378,2025-06-26,2028-06-10,4699779,3262532,1137291,73,Overdue,Microloan,35.17,36,176463.65,526,UZS
L000131,C00096,2024-06-05,2024-12-02,1711413,786564,399248,94,Overdue,Microloan,35.76,6,387235.71,482,UZS
L000132,C00148,2025-03-14,2025-12-09,20191630,15997563,2277425,150,Overdue,Credit card,40.99,9,3163131.02,824,UZS
L000133,C01724,2024-11-17,2025-05-16,18610416,13627378,0,0,Active,Installment,39.97,6,4341499.88,728,UZS
L000134,C01896,2024-12-27,2026-06-20,11751027,5669233,0,0,Active,Installment,36.6,18,891772.38,479,UZS
L000135,C01600,2025-07-17,2026-01-13,36925406,21380385,4074301,58,Overdue,Cash loan,36.25,6,8385144.28,604,UZS
L000136,C00446,2025-10-08,2028-09-22,43441629,9384031,0,0,Active,Cash loan,35.61,36,1636422.03,514,UZS
L000137,C02212,2025-01-31,2028-01-16,18137709,6944841,2589098,13,Overdue,Installment,25.17,36,630638.07,381,UZS
L000138,C01971,2025-08-26,2027-02-17,20564971,14914341,5555187,47,Overdue,Credit card,23.11,18,1406529.77,520,UZS
L000139,C01296,2025-05-17,2026-02-11,33886295,0,0,0,Closed,Cash loan,45.92,9,5494097.96,715,UZS
L000140,C00783,2025-04-01,2025-06-30,35671171,0,0,0,Closed,Cash loan,37.8,3,16384957.88,501,UZS
L000141,C00894,2024-12-03,2025-08-30,5866091,3418643,0,0,Active,Cash loan,34.6,9,877306.5,577,UZS
L000142,C02472,2024-08-15,2026-02-06,29587380,10457509,1446637,12,Overdue,Credit card,43.31,18,2355648.57,584,UZS
L000143,C00211,2024-04-14,2027-03-30,34808748,30401781,17203353,71,Overdue,Credit card,36.44,36,1319251.55,537,UZS
L000144,C00154,2025-03-24,2028-03-08,21733624,13006404,3578757,10,Overdue,Installment,31.89,36,796235.46,439,UZS
L000145,C01938,2024-10-27,2025-01-25,15202196,0,0,0,Closed,Installment,23.59,3,6262798.01,668,UZS
L000146,C00893,2025-09-19,2026-06-16,4682636,0,0,0,Closed,Microloan,30.52,9,679086.28,709,UZS
L000147,C02041,2024-06-13,2025-12-05,23231367,0,0,0,Closed,Installment,27.0,18,1639102.0,490,UZS
L000148,C00155,2024-03-31,2024-12-26,40527987,29027527,0,0,Active,Cash loan,27.44,9,5738762.96,788,UZS
L000149,C01230,2025-01-16,2025-04-16,39909218,20350659,11738778,94,Overdue,Cash loan,42.32,3,18932933.02,634,UZS
L000150,C01043,2024-05-05,2025-01-30,12970093,4468837,454759,21,Overdue,Installment,22.32,9,1762779.75,782,UZS
L000151,C00662,2024-03-19,2025-09-10,20942955,0,0,0,Closed,Credit card,43.39,18,1668339.07,486,UZS
L000152,C00406,2024-11-03,2027-10-19,21351416,11142012,0,0,Active,Cash loan,38.66,36,822385.37,780,UZS
L000153,C01843,2024-05-11,2025-11-02,11413769,2864419,0,0,Active,Cash loan,44.42,18,915764.73,790,UZS
L000154,C00621,2025-10-11,2026-07-08,20298427,10522150,0,0,Active,Installment,26.53,9,2853733.3,793,UZS
L000155,C01545,2024-05-06,2025-10-28,14941459,12967922,8468463,11,Overdue,Installment,25.23,18,1039510.51,449,UZS
L000156,C00525,2024-08-13,2025-05-10,44185955,18924340,0,0,Active,Cash loan,32.16,9,6488462.01,487,UZS
L000157,C00905,2025-05-14,2026-02-08,5146981,1580424,0,0,Active,Credit card,31.69,9,753117.7,696,UZS
L000158,C01124,2025-09-23,2026-03-22,17179348,8847689,5495584,10,Overdue,Cash loan,31.05,6,3752255.93,629,UZS
L000159,C00216,2025-01-27,2025-07-26,35857590,0,0,0,Closed,Cash loan,30.56,6,7802611.58,484,UZS
L000160,C01563,2025-10-10,2026-07-07,27432031,10471404,0,0,Active,Credit card,43.14,9,4362912.13,777,UZS
L000161,C00380,2024-02-16,2024-05-16,17517787,2586666,0,0,Active,Cash loan,39.33,3,8135844.21,541,UZS
L000162,C00854,2024-10-04,2027-09-19,10583827,8286646,0,0,Active,Credit card,27.49,36,374814.47,776,UZS
L000163,C00004,2024-09-03,2025-03-02,7436210,0,0,0,Closed,Cash loan,24.01,6,1536940.67,591,UZS
L000164,C01976,2024-07-21,2025-01-17,26998003,13169462,0,0,Active,Cash loan,36.15,6,6126296.85,806,UZS
L000165,C01298,2024-05-17,2027-05-02,3542053,1544418,801582,16,Overdue,Cash loan,41.31,36,139035.42,558,UZS
L000166,C02057,2024-04-12,2026-04-02,38964549,23503178,9892873,102,Default,Cash loan,26.1,24,2047262.35,493,UZS
L000167,C00426,2024-01-16,2025-01-10,4326107,2209925,659444,22,Overdue,Microloan,32.9,12,479116.35,499,UZS
L000168,C00217,2025-07-15,2027-07-05,5791166,4091323,0,0,Active,Installment,23.73,24,298558.74,746,UZS
L000169,C01079,2024-07-19,2024-10-17,30128381,16106513,8330687,133,Overdue,Cash loan,38.21,3,13880145.13,549,UZS
L000170,C00566,2024-04-07,2024-07-06,22412990,3508549,0,0,Active,Cash loan,29.67,3,9687641.38,659,UZS
L000171,C02412,2024-01-20,2024-04-19,15241000,2995523,0,0,Active,Installment,42.47,3,7237950.9,555,UZS
L000172,C01139,2024-11-23,2025-05-22,42400030,32405427,15177714,13,Overdue,Cash loan,23.11,6,8699779.49,540,UZS
L000173,C00310,2024-07-31,2025-04-27,38848554,14479357,0,0,Active,Cash loan,34.41,9,5801815.71,770,UZS
L000174,C00479,2024-06-11,2024-12-08,13258688,3479527,0,0,Active,Credit card,26.46,6,2794489.47,660,UZS
L000175,C01638,2024-11-01,2026-04-25,32710331,26881224,14456977,17,Overdue,Cash loan,36.0,18,2471447.23,538,UZS
L000176,C01461,2025-04-09,2027-03-30,34779633,19783173,0,0,Active,Cash loan,26.26,24,1829698.53,519,UZS
L000177,C01933,2024-12-30,2025-12-25,25097457,18454084,0,0,Active,Credit card,28.42,12,2685846.19,691,UZS
L000178,C01598,2025-01-13,2027-12-29,1008170,458263,0,0,Active,Microloan,45.82,36,40836.49,694,UZS
L000179,C00898,2025-08-18,2027-08-08,27888670,17842038,0,0,Active,Cash loan,38.01,24,1603714.73,622,UZS
L000180,C01385,2025-08-17,2027-08-07,30361769,0,0,0,Closed,Cash loan,25.7,24,1590197.65,752,UZS
L000181,C00830,2025-02-01,2026-01-27,11992853,5315831,0,0,Active,Credit card,37.48,12,1373981.19,623,UZS
L000182,C01714,2025-10-02,2027-03-26,2282600,1510652,0,0,Active,Microloan,27.91,18,162204.09,731,UZS
L000183,C02367,2024-04-13,2025-04-08,39131406,0,0,0,Closed,Cash loan,40.21,12,4572178.7,640,UZS
L000184,C00317,2024-12-28,2027-12-13,23609339,8543491,2109438,47,Overdue,Installment,33.93,36,878332.99,518,UZS
L000185,C00853,2025-01-23,2025-04-23,24190586,15418631,6666002,4,Overdue,Installment,39.08,3,11214755.67,845,UZS
L000186,C02278,2025-01-30,2027-01-20,8979537,2221038,0,0,Active,Credit card,40.44,24,525452.57,470,UZS
L000187,C01811,2024-11-27,2026-11-17,5836865,0,0,0,Closed,Installment,29.12,24,314023.34,774,UZS
L000188,C01661,2024-07-14,2026-01-05,10307132,7982448,0,0,Active,Cash loan,22.27,18,700140.57,749,UZS
L000189,C01620,2024-09-25,2026-03-19,5685528,0,0,0,Closed,Credit card,39.25,18,439838.76,778,UZS
L000190,C02324,2025-09-27,2026-09-22,23556461,12957508,0,0,Active,Installment,22.79,12,2410414.87,854,UZS
L000191,C01596,2024-12-24,2027-12-09,41333872,12568865,0,0,Active,Cash loan,36.04,36,1561961.1,847,UZS
L000192,C00334,2024-08-25,2025-05-22,21246688,13050530,0,0,Active,Cash loan,34.8,9,3182281.71,583,UZS
L000193,C00412,2025-07-30,2027-01-21,20804129,3233691,0,0,Active,Cash loan,28.03,18,1479751.46,411,UZS
L000194,C02230,2025-02-14,2025-05-15,21986827,7336188,0,0,Active,Cash loan,43.58,3,10522895.4,722,UZS
L000195,C00662,2024-02-09,2024-08-07,29876810,0,0,0,Closed,Credit card,31.7,6,6557959.79,663,UZS
L000196,C02230,2024-03-15,2025-09-06,2949289,0,0,0,Closed,Microloan,28.19,18,210038.53,488,UZS
L000197,C01349,2024-09-24,2025-03-23,7020741,6721994,3058554,49,Overdue,Cash loan,26.93,6,1485237.76,535,UZS
L000198,C02227,2024-03-22,2024-12-17,4317930,869733,0,0,Active,Installment,38.93,9,666544.46,404,UZS
L000199,C02388,2024-01-17,2024-07-15,24448146,8909172,1599303,30,Overdue,Credit card,34.81,6,5493090.94,452,UZS
L000200,C01226,2025-05-11,2027-05-01,8038729,3098313,0,0,Active,Cash loan,42.64,24,477768.46,693,UZS
L000201,C00769,2024-09-01,2026-02-23,32801984,27534151,0,0,Active,Credit card,24.93,18,2276639.92,744,UZS
L000202,C02366,2024-06-22,2024-12-19,2882019,968299,443565,8,Overdue,Microloan,32.4,6,635965.53,474,UZS
L000203,C00760,2025-02-20,2026-08-14,12555944,9330291,2517288,130,Default,Installment,39.3,18,971690.56,615,UZS
L000204,C00267,2025-04-22,2026-10-14,5647096,2218292,0,0,Active,Microloan,28.78,18,404018.35,571,UZS
L000205,C02336,2025-09-04,2026-03-03,1388914,829953,0,0,Active,Microloan,31.65,6,304750.88,689,UZS
L000206,C01498,2025-05-31,2026-02-25,7181780,3972513,1271899,73,Overdue,Installment,28.22,9,1023164.26,820,UZS
L000207,C00033,2025-11-10,2026-02-08,10867025,10530197,3712816,31,Overdue,Installment,26.32,3,4575741.99,590,UZS
L000208,C00166,2025-06-08,2026-06-03,2115104,1779239,0,0,Active,Credit card,41.3,12,249053.5,632,UZS
L000209,C00411,2025-07-03,2025-12-30,16828041,6114986,0,0,Active,Installment,41.03,6,3955431.04,548,UZS
L000210,C00661,2024-05-26,2025-11-17,12937696,7122733,3302080,46,Overdue,Cash loan,36.29,18,979599.22,471,UZS
L000211,C00131,2024-04-04,2024-07-03,40194738,12894105,7888566,105,Default,Cash loan,40.58,3,18835254.23,543,UZS
L000212,C00796,2025-03-29,2025-09-25,14054976,0,0,0,Closed,Cash loan,32.48,6,3103338.7,418,UZS
L000213,C00482,2025-11-11,2026-08-08,34901604,27745926,0,0,Active,Credit card,22.41,9,4747005.94,677,UZS
L000214,C00299,2024-11-03,2025-02-01,44745718,15647007,0,0,Active,Cash loan,40.22,3,20914148.59,752,UZS
L000215,C02092,2024-04-07,2026-03-28,17754845,6382897,2591224,29,Overdue,Credit card,35.33,24,1001151.32,581,UZS
L000216,C02500,2025-01-29,2025-07-28,26109130,22102425,0,0,Active,Cash loan,33.15,6,5794051.1,778,UZS
L000217,C02397,2025-11-14,2026-05-13,29645744,0,0,0,Closed,Credit card,28.01,6,6324919.48,767,UZS
L000218,C00982,2025-02-16,2026-08-10,12701732,6531773,3663629,60,Overdue,Credit card,35.07,18,953123.86,529,UZS
L000219,C01140,2024-01-01,2026-12-16,31125449,11499750,0,0,Active,Cash loan,25.68,36,1086624.01,740,UZS
L000220,C02490,2025-03-15,2025-06-13,26423859,7270423,0,0,Active,Credit card,40.15,3,12344346.13,648,UZS
L000221,C01521,2024-02-14,2024-05-14,11681966,6075838,0,0,Active,Installment,29.17,3,5029865.16,687,UZS
L000222,C02261,2025-01-01,2025-06-30,4375442,2448725,0,0,Active,Cash loan,31.55,6,959315.66,624,UZS
L000223,C01104,2025-05-25,2028-05-09,15103086,7718236,793901,109,Default,Cash loan,22.77,36,515057.19,366,UZS
L000224,C00328,2024-05-09,2025-02-03,12106316,4279914,0,0,Active,Installment,33.0,9,1789044.48,653,UZS
L000225,C02396,2025-01-28,2025-07-27,3677802,3067368,714616,6,Overdue,Microloan,25.47,6,769089.69,457,UZS
L000226,C01385,2024-10-25,2025-07-22,30465012,11886111,0,0,Active,Credit card,23.11,9,4167275.14,526,UZS
L000227,C00083,2024-05-23,2025-11-14,7896624,2539697,0,0,Active,Microloan,25.77,18,551754.67,772,UZS
L000228,C00569,2024-01-28,2024-10-24,17569616,10776724,0,0,Active,Credit card,36.17,9,2658282.9,843,UZS
L000229,C01664,2024-08-02,2025-07-28,14294772,0,0,0,Closed,Installment,24.91,12,1487966.64,631,UZS
