action_id,loan_id,customer_id,collector_id,action_date,action_type,action_result,promise_to_pay_date,promise_amount,next_follow_up_date
A00000031,L000031,C00128,CL031,2025-08-20,Call,Refused,,,2025-08-21
A00000032,L000031,C00128,CL026,2025-10-28,Email,Rescheduled,,,2025-11-02
A00000033,L000031,C00128,CL017,2025-08-30,Push,No Answer,,,2025-09-05
A00000034,L000031,C00128,CL028,2025-10-18,Call,Refused,,,2025-10-20
A00000035,L000031,C00128,CL023,2025-08-28,Call,Promise to Pay,2025-09-11,3297977,2025-09-05
A00000036,L000031,C00128,CL045,2025-10-12,Push,No Answer,,,2025-10-19
A00000037,L000031,C00128,CL042,2025-10-25,Call,No Answer,,,2025-10-29
A00000038,L000031,C00128,CL039,2025-11-02,Push,Wrong Number,,,2025-11-04
A00000039,L000048,C00820,CL004,2025-12-16,SMS,No Answer,,,2025-12-23
A00000040,L000048,C00820,CL007,2025-12-16,Call,No Answer,,,2025-12-21
A00000041,L000048,C00820,CL001,2025-12-16,Call,Paid,,,2025-12-21
A00000042,L000054,C02234,CL027,2025-09-14,Call,No Answer,,,2025-09-17
A00000043,L000054,C02234,CL025,2025-07-14,SMS,Rescheduled,,,2025-07-24
A00000044,L000054,C02234,CL023,2025-08-23,Call,Promise to Pay,2025-09-04,126382,2025-09-01
A00000045,L000054,C02234,CL037,2025-07-31,Call,Paid,,,2025-08-01
A00000046,L000054,C02234,CL032,2025-07-13,Call,Rescheduled,,,2025-07-19
A00000047,L000055,C02343,CL024,2025-10-10,Field Visit,Promise to Pay,2025-10-17,780083,2025-10-18
A00000048,L000055,C02343,CL035,2025-08-30,Field Visit,Rescheduled,,,2025-08-31
A00000049,L000055,C02343,CL041,2025-11-04,SMS,No Answer,,,2025-11-08
A00000050,L000059,C00106,CL012,2025-12-16,Call,Paid,,,2025-12-22
A00000051,L000063,C01937,CL019,2025-09-09,Call,No Answer,,,2025-09-16
A00000052,L000063,C01937,CL029,2025-09-08,SMS,Paid,,,2025-09-09
A00000053,L000063,C01937,CL017,2025-09-29,Call,No Answer,,,2025-10-08
A00000054,L000063,C01937,CL045,2025-08-28,Call,Refused,,,2025-08-31
A00000055,L000063,C01937,CL019,2025-11-15,SMS,Promise to Pay,2025-11-25,1240890,2025-11-25
A00000056,L000063,C01937,CL024,2025-10-31,Call,Promise to Pay,2025-11-10,1800559,2025-11-06
A00000057,L000063,C01937,CL022,2025-10-20,Call,Promise to Pay,2025-10-25,953985,2025-10-22
A00000058,L000063,C01937,CL033,2025-11-05,SMS,Promise to Pay,2025-11-19,2181804,2025-11-10
A00000059,L000063,C01937,CL022,2025-11-03,SMS,Rescheduled,,,2025-11-09
A00000060,L000063,C01937,CL043,2025-08-21,Call,Promise to Pay,2025-09-04,4557475,2025-08-28
A00000061,L000070,C01551,CL004,2025-12-11,Call,Rescheduled,,,2025-12-17
A00000062,L000070,C01551,CL009,2025-12-05,SMS,Rescheduled,,,2025-12-10
A00000063,L000070,C01551,CL005,2025-12-06,Field Visit,Promise to Pay,2025-12-20,191575,2025-12-09
A00000064,L000075,C01575,CL010,2025-12-02,Call,No Answer,,,2025-12-10
A00000065,L000081,C02478,CL018,2025-11-16,Email,Paid,,,2025-11-19
A00000066,L000081,C02478,CL028,2025-12-01,Push,Promise to Pay,2025-12-09,251304,2025-12-08
A00000067,L000081,C02478,CL018,2025-12-12,Call,No Answer,,,2025-12-19
A00000068,L000081,C02478,CL029,2025-11-17,Call,Refused,,,2025-11-23
A00000069,L000081,C02478,CL021,2025-12-04,Email,Promise to Pay,2025-12-08,963675,2025-12-09
A00000070,L000081,C02478,CL017,2025-12-16,Call,Paid,,,2025-12-23
A00000071,L000081,C02478,CL021,2025-12-11,Call,No Answer,,,2025-12-21
A00000072,L000083,C01669,CL011,2025-12-11,Push,No Answer,,,2025-12-15
A00000073,L000083,C01669,CL005,2025-12-11,Push,No Answer,,,2025-12-21
A00000074,L000083,C01669,CL015,2025-12-06,Call,Refused,,,2025-12-10
A00000075,L000083,C01669,CL015,2025-12-08,Call,Promise to Pay,2025-12-16,185527,2025-12-17
A00000076,L000084,C01664,CL007,2025-12-18,Call,Promise to Pay,2026-01-01,194130,2025-12-27
A00000077,L000084,C01664,CL002,2025-12-19,Call,Promise to Pay,2025-12-22,370768,2025-12-28
A00000078,L000084,C01664,CL008,2025-12-20,SMS,Promise to Pay,2025-12-23,556662,2025-12-24
A00000079,L000084,C01664,CL008,2025-12-18,Call,Paid,,,2025-12-20
A00000080,L000084,C01664,CL001,2025-12-16,Call,Refused,,,2025-12-22
A00000081,L000096,C01980,CL007,2025-12-24,SMS,No Answer,,,2025-12-31
A00000082,L000096,C01980,CL006,2025-12-14,Call,No Answer,,,2025-12-20
A00000083,L000096,C01980,CL013,2025-12-20,Call,Promise to Pay,2025-12-22,1240411,2025-12-28
A00000084,L000096,C01980,CL005,2025-12-21,Push,No Answer,,,2025-12-24
A00000085,L000099,C01646,CL016,2025-12-22,Email,No Answer,,,2025-12-28
A00000086,L000099,C01646,CL027,2025-12-06,SMS,Promise to Pay,2025-12-16,163443,2025-12-08
A00000087,L000099,C01646,CL026,2025-11-14,Call,Rescheduled,,,2025-11-22
A00000088,L000100,C01179,CL017,2025-12-18,SMS,Promise to Pay,2025-12-21,267111,2025-12-21
A00000089,L000100,C01179,CL027,2025-11-30,Call,Promise to Pay,2025-12-11,1378427,2025-12-04
A00000090,L000100,C01179,CL017,2025-12-16,Call,Promise to Pay,2025-12-26,2623150,2025-12-17
A00000091,L000100,C01179,CL027,2025-12-08,Email,No Answer,,,2025-12-10
A00000092,L000100,C01179,CL024,2025-12-21,Call,No Answer,,,2025-12-24
A00000093,L000100,C01179,CL018,2025-12-18,Field Visit,Promise to Pay,2025-12-31,5571214,2025-12-24
A00000094,L000100,C01179,CL019,2025-12-07,Field Visit,Promise to Pay,2025-12-13,2082761,2025-12-14
A00000095,L000105,C01156,CL004,2025-12-10,Call,Paid,,,2025-12-11
A00000096,L000105,C01156,CL001,2025-12-13,Call,Paid,,,2025-12-21
A00000097,L000105,C01156,CL003,2025-12-12,Call,No Answer,,,2025-12-14
A00000098,L000105,C01156,CL001,2025-12-09,Call,No Answer,,,2025-12-13
A00000099,L000117,C02099,CL015,2025-12-11,Call,Promise to Pay,2025-12-24,325018,2025-12-21
A00000100,L000117,C02099,CL001,2025-12-12,Push,Rescheduled,,,2025-12-14
A00000101,L000117,C02099,CL006,2025-12-10,Call,Refused,,,2025-12-15
A00000102,L000117,C02099,CL007,2025-12-18,SMS,Rescheduled,,,2025-12-19
A00000103,L000117,C02099,CL015,2025-12-15,Field Visit,Refused,,,2025-12-20
A00000104,L000121,C02443,CL018,2025-12-04,SMS,Wrong Number,,,2025-12-13
A00000105,L000121,C02443,CL030,2025-11-12,Call,Paid,,,2025-11-16
A00000106,L000121,C02443,CL018,2025-12-05,Call,Refused,,,2025-12-12
A00000107,L000121,C02443,CL028,2025-12-10,Call,Paid,,,2025-12-19
A00000108,L000121,C02443,CL030,2025-12-13,Call,Promise to Pay,2025-12-25,784805,2025-12-20
A00000109,L000121,C02443,CL022,2025-11-25,Call,No Answer,,,2025-12-05
A00000110,L000121,C02443,CL026,2025-11-03,Field Visit,Refused,,,2025-11-08
A00000111,L000123,C00078,CL010,2025-12-05,Call,No Answer,,,2025-12-09
A00000112,L000123,C00078,CL011,2025-12-13,SMS,Rescheduled,,,2025-12-22
A00000113,L000123,C00078,CL012,2025-12-08,Email,Rescheduled,,,2025-12-14
A00000114,L000123,C00078,CL010,2025-12-18,SMS,Paid,,,2025-12-28
A00000115,L000126,C00274,CL020,2025-11-14,Call,No Answer,,,2025-11-23
A00000116,L000126,C00274,CL017,2025-11-27,SMS,No Answer,,,2025-12-02
A00000117,L000126,C00274,CL026,2025-10-07,SMS,Promise to Pay,2025-10-09,664914,2025-10-12
A00000118,L000126,C00274,CL020,2025-09-26,Call,Promise to Pay,2025-10-03,2113066,2025-10-04
A00000119,L000126,C00274,CL026,2025-10-17,SMS,Promise to Pay,2025-10-18,529499,2025-10-18
A00000120,L000126,C00274,CL016,2025-10-31,Push,Promise to Pay,2025-11-03,1008474,2025-11-07
A00000121,L000126,C00274,CL029,2025-09-27,Push,Rescheduled,,,2025-10-05
A00000122,L000126,C00274,CL024,2025-11-30,SMS,Rescheduled,,,2025-12-07
A00000123,L000130,C00378,CL018,2025-10-18,Call,No Answer,,,2025-10-28
A00000124,L000130,C00378,CL028,2025-11-01,Call,Refused,,,2025-11-04
A00000125,L000130,C00378,CL017,2025-10-24,Push,Promise to Pay,2025-10-29,177745,2025-11-02
A00000126,L000130,C00378,CL023,2025-10-18,Call,No Answer,,,2025-10-19
A00000127,L000130,C00378,CL029,2025-11-23,Push,No Answer,,,2025-11-27
A00000128,L000131,C00096,CL041,2025-10-20,Push,Promise to Pay,2025-10-24,144231,2025-10-28
A00000129,L000131,C00096,CL030,2025-10-25,SMS,No Answer,,,2025-10-30
A00000130,L000131,C00096,CL030,2025-10-31,Call,No Answer,,,2025-11-07
A00000131,L000131,C00096,CL021,2025-10-31,Push,Promise to Pay,2025-11-05,168599,2025-11-10
A00000132,L000131,C00096,CL041,2025-11-24,Call,Promise to Pay,2025-12-08,104674,2025-11-25
A00000133,L000131,C00096,CL044,2025-12-13,Push,No Answer,,,2025-12-17
A00000134,L000132,C00148,CL039,2025-08-18,Call,Promise to Pay,2025-08-20,144289,2025-08-28
A00000135,L000132,C00148,CL020,2025-08-10,Call,Paid,,,2025-08-17
A00000136,L000132,C00148,CL033,2025-08-12,Call,Refused,,,2025-08-16
A00000137,L000132,C00148,CL019,2025-09-08,Call,No Answer,,,2025-09-16
A00000138,L000132,C00148,CL019,2025-07-27,Call,Refused,,,2025-08-03
A00000139,L000132,C00148,CL030,2025-08-10,Call,No Answer,,,2025-08-13
A00000140,L000135,C01600,CL022,2025-12-17,Call,No Answer,,,2025-12-23
A00000141,L000135,C01600,CL027,2025-11-24,Call,Promise to Pay,2025-12-02,410615,2025-11-28
A00000142,L000135,C01600,CL016,2025-11-06,Call,No Answer,,,2025-11-08
A00000143,L000135,C01600,CL016,2025-11-10,Field Visit,Paid,,,2025-11-15
A00000144,L000135,C01600,CL028,2025-11-21,SMS,No Answer,,,2025-11-26
A00000145,L000135,C01600,CL020,2025-11-30,Field Visit,Refused,,,2025-12-02
A00000146,L000135,C01600,CL026,2025-11-21,SMS,No Answer,,,2025-11-22
A00000147,L000137,C02212,CL014,2025-12-12,SMS,Promise to Pay,2025-12-18,638597,2025-12-19
A00000148,L000137,C02212,CL015,2025-12-14,Call,Promise to Pay,2025-12-28,867313,2025-12-23
A00000149,L000137,C02212,CL008,2025-12-11,SMS,No Answer,,,2025-12-19
A00000150,L000138,C01971,CL023,2025-11-06,Call,Rescheduled,,,2025-11-10
A00000151,L000138,C01971,CL024,2025-12-11,SMS,Refused,,,2025-12-17
A00000152,L000138,C01971,CL030,2025-12-04,SMS,No Answer,,,2025-12-08
A00000153,L000138,C01971,CL025,2025-11-08,Field Visit,Wrong Number,,,2025-11-12
A00000154,L000142,C02472,CL010,2025-12-19,Call,No Answer,,,2025-12-28
A00000155,L000142,C02472,CL005,2025-12-13,SMS,Promise to Pay,2025-12-17,253724,2025-12-19
A00000156,L000142,C02472,CL007,2025-12-20,SMS,Rescheduled,,,2025-12-24
A00000157,L000142,C02472,CL005,2025-12-20,SMS,Promise to Pay,2026-01-03,428523,2025-12-24
A00000158,L000143,C00211,CL020,2025-11-29,SMS,Promise to Pay,2025-12-09,5918005,2025-11-30
A00000159,L000143,C00211,CL019,2025-11-23,Field Visit,Paid,,,2025-11-26
A00000160,L000143,C00211,CL029,2025-12-05,Call,Refused,,,2025-12-07
A00000161,L000143,C00211,CL019,2025-11-17,Call,Rescheduled,,,2025-11-18
A00000162,L000143,C00211,CL029,2025-10-11,Field Visit,Promise to Pay,2025-10-17,3721815,2025-10-14
A00000163,L000143,C00211,CL022,2025-12-09,SMS,Promise to Pay,2025-12-11,2624002,2025-12-19
A00000164,L000143,C00211,CL018,2025-10-17,SMS,Promise to Pay,2025-10-28,1927224,2025-10-26
A00000165,L000143,C00211,CL019,2025-11-18,Call,No Answer,,,2025-11-26
A00000166,L000144,C00154,CL007,2025-12-18,Call,No Answer,,,2025-12-22
A00000167,L000144,C00154,CL014,2025-12-20,Email,Promise to Pay,2025-12-28,458761,2025-12-29
A00000168,L000144,C00154,CL009,2025-12-19,Email,Paid,,,2025-12-25
A00000169,L000144,C00154,CL012,2025-12-18,Email,No Answer,,,2025-12-21
A00000170,L000149,C01230,CL040,2025-10-02,SMS,Refused,,,2025-10-09
A00000171,L000149,C01230,CL035,2025-11-26,Field Visit,Promise to Pay,2025-12-02,2517958,2025-12-05
A00000172,L000149,C01230,CL035,2025-11-09,Push,Wrong Number,,,2025-11-15
A00000173,L000149,C01230,CL038,2025-12-05,Field Visit,No Answer,,,2025-12-11
A00000174,L000149,C01230,CL037,2025-12-14,Field Visit,Paid,,,2025-12-19
A00000175,L000149,C01230,CL032,2025-09-20,SMS,Promise to Pay,2025-09-28,2038180,2025-09-25
A00000176,L000149,C01230,CL045,2025-10-01,Call,Promise to Pay,2025-10-15,1649323,2025-10-03
A00000177,L000150,C01043,CL009,2025-12-10,Email,Rescheduled,,,2025-12-17
A00000178,L000150,C01043,CL007,2025-12-11,Field Visit,Paid,,,2025-12-19
A00000179,L000155,C01545,CL009,2025-12-24,Call,No Answer,,,2025-12-25
A00000180,L000155,C01545,CL001,2025-12-21,Call,Refused,,,2025-12-29
A00000181,L000155,C01545,CL005,2025-12-22,Email,No Answer,,,2025-12-29
A00000182,L000155,C01545,CL010,2025-12-16,Call,Paid,,,2025-12-25
A00000183,L000155,C01545,CL004,2025-12-16,SMS,No Answer,,,2025-12-26
A00000184,L000158,C01124,CL012,2025-12-15,SMS,No Answer,,,2025-12-19
A00000185,L000158,C01124,CL004,2025-12-14,SMS,Paid,,,2025-12-24
A00000186,L000158,C01124,CL001,2025-12-09,Call,Promise to Pay,2025-12-22,118381,2025-12-10
A00000187,L000158,C01124,CL003,2025-12-17,Call,No Answer,,,2025-12-23
A00000188,L000158,C01124,CL013,2025-12-11,Field Visit,Promise to Pay,2025-12-21,1841359,2025-12-12
A00000189,L000165,C01298,CL013,2025-12-23,Call,Rescheduled,,,2025-12-25
A00000190,L000165,C01298,CL007,2025-12-17,SMS,No Answer,,,2025-12-19
A00000191,L000166,C02057,CL019,2025-12-17,SMS,Promise to Pay,2025-12-19,5239956,2025-12-22
A00000192,L000166,C02057,CL034,2025-11-11,Push,Rescheduled,,,2025-11-18
A00000193,L000166,C02057,CL024,2025-10-18,Email,Wrong Number,,,2025-10-26
A00000194,L000166,C02057,CL032,2025-10-29,Call,Paid,,,2025-11-04
A00000195,L000166,C02057,CL036,2025-09-21,SMS,Promise to Pay,2025-09-29,1247056,2025-09-28
A00000196,L000166,C02057,CL041,2025-10-01,Email,Paid,,,2025-10-09
A00000197,L000166,C02057,CL040,2025-10-15,Call,Wrong Number,,,2025-10-25
A00000198,L000166,C02057,CL035,2025-12-17,Push,No Answer,,,2025-12-21
A00000199,L000166,C02057,CL020,2025-11-25,Call,Paid,,,2025-11-28
A00000200,L000167,C00426,CL002,2025-12-08,Call,Paid,,,2025-12-17
A00000201,L000167,C00426,CL005,2025-12-17,SMS,No Answer,,,2025-12-24
A00000202,L000167,C00426,CL006,2025-12-13,SMS,No Answer,,,2025-12-15
A00000203,L000167,C00426,CL013,2025-12-07,Call,No Answer,,,2025-12-15
A00000204,L000169,C01079,CL036,2025-10-26,Push,Refused,,,2025-11-03
A00000205,L000169,C01079,CL039,2025-10-07,Call,Promise to Pay,2025-10-11,464750,2025-10-15
A00000206,L000169,C01079,CL039,2025-09-25,Push,Promise to Pay,2025-09-30,505788,2025-10-03
A00000207,L000169,C01079,CL020,2025-08-17,SMS,No Answer,,,2025-08-22
A00000208,L000169,C01079,CL033,2025-10-25,Call,No Answer,,,2025-10-31
A00000209,L000169,C01079,CL023,2025-08-21,Call,Rescheduled,,,2025-08-25
A00000210,L000169,C01079,CL045,2025-09-22,Call,No Answer,,,2025-10-02
A00000211,L000172,C01139,CL002,2025-12-20,Email,Rescheduled,,,2025-12-23
A00000212,L000172,C01139,CL009,2025-12-13,Call,No Answer,,,2025-12-21
A00000213,L000172,C01139,CL015,2025-12-19,Call,Paid,,,2025-12-20
A00000214,L000172,C01139,CL007,2025-12-10,Call,Paid,,,2025-12-13
A00000215,L000172,C01139,CL001,2025-12-11,Email,Refused,,,2025-12-12
A00000216,L000175,C01638,CL008,2025-12-20,Call,Promise to Pay,2026-01-01,4522199,2025-12-29
A00000217,L000184,C00317,CL021,2025-12-17,SMS,No Answer,,,2025-12-24
A00000218,L000184,C00317,CL016,2025-11-04,Email,No Answer,,,2025-11-12
A00000219,L000185,C00853,CL005,2025-12-20,SMS,Promise to Pay,2025-12-22,563633,2025-12-21
A00000220,L000185,C00853,CL008,2025-12-19,Call,Promise to Pay,2025-12-28,147042,2025-12-26
A00000221,L000185,C00853,CL014,2025-12-20,Field Visit,Rescheduled,,,2025-12-24
A00000222,L000185,C00853,CL011,2025-12-21,SMS,No Answer,,,2025-12-22
A00000223,L000185,C00853,CL011,2025-12-21,Call,No Answer,,,2025-12-23
A00000224,L000197,C01349,CL027,2025-11-20,Call,Wrong Number,,,2025-11-29
A00000225,L000197,C01349,CL023,2025-11-08,Field Visit,Paid,,,2025-11-14
A00000226,L000197,C01349,CL022,2025-11-21,Call,Promise to Pay,2025-12-05,334831,2025-11-24
A00000227,L000197,C01349,CL022,2025-12-01,Call,Refused,,,2025-12-02
A00000228,L000197,C01349,CL028,2025-11-06,SMS,Paid,,,2025-11-13
A00000229,L000197,C01349,CL027,2025-11-04,Call,No Answer,,,2025-11-07
A00000230,L000197,C01349,CL023,2025-10-31,Call,No Answer,,,2025-11-07
A00000231,L000199,C02388,CL003,2025-11-28,Call,No Answer,,,2025-12-02
A00000232,L000199,C02388,CL006,2025-11-21,SMS,Refused,,,2025-11-30
A00000233,L000199,C02388,CL012,2025-11-30,Field Visit,No Answer,,,2025-12-02
A00000234,L000199,C02388,CL004,2025-12-04,Call,Promise to Pay,2025-12-16,285386,2025-12-14
A00000235,L000202,C02366,CL003,2025-12-12,Call,Promise to Pay,2025-12-17,122281,2025-12-21
A00000236,L000202,C02366,CL015,2025-12-07,SMS,Paid,,,2025-12-15
A00000237,L000202,C02366,CL009,2025-12-12,Email,Rescheduled,,,2025-12-13
A00000238,L000203,C00760,CL037,2025-08-15,Call,Promise to Pay,2025-08-21,119164,2025-08-18
A00000239,L000203,C00760,CL029,2025-11-04,SMS,Rescheduled,,,2025-11-13
A00000240,L000203,C00760,CL038,2025-11-08,SMS,No Answer,,,2025-11-16
A00000241,L000203,C00760,CL016,2025-09-25,Call,No Answer,,,2025-09-29
A00000242,L000203,C00760,CL036,2025-09-15,SMS,Refused,,,2025-09-24
A00000243,L000203,C00760,CL025,2025-11-04,Call,Promise to Pay,2025-11-10,121924,2025-11-09
A00000244,L000203,C00760,CL023,2025-10-07,Email,No Answer,,,2025-10-11
A00000245,L000203,C00760,CL031,2025-08-25,Call,Paid,,,2025-09-04
A00000246,L000203,C00760,CL022,2025-08-13,Call,Paid,,,2025-08-18
A00000247,L000203,C00760,CL029,2025-10-22,Call,Paid,,,2025-10-23
A00000248,L000206,C01498,CL021,2025-11-14,SMS,Refused,,,2025-11-16
A00000249,L000206,C01498,CL027,2025-10-05,Call,Refused,,,2025-10-11
A00000250,L000206,C01498,CL024,2025-12-10,Push,No Answer,,,2025-12-15
A00000251,L000206,C01498,CL030,2025-11-05,Email,No Answer,,,2025-11-09
A00000252,L000206,C01498,CL017,2025-10-03,SMS,Rescheduled,,,2025-10-09
A00000253,L000207,C00033,CL028,2025-12-31,Call,No Answer,,,2026-01-07
A00000254,L000207,C00033,CL026,2025-12-31,Call,Paid,,,2026-01-04
A00000255,L000207,C00033,CL022,2025-12-22,Call,Paid,,,2025-12-25
A00000256,L000207,C00033,CL024,2025-12-17,SMS,Promise to Pay,2025-12-29,1195261,2025-12-21
A00000257,L000207,C00033,CL030,2025-12-27,Email,Wrong Number,,,2026-01-06
A00000258,L000207,C00033,CL024,2025-12-24,Call,No Answer,,,2025-12-28
A00000259,L000207,C00033,CL016,2025-12-10,Push,No Answer,,,2025-12-13
A00000260,L000207,C00033,CL030,2025-12-24,SMS,Paid,,,2026-01-03
A00000261,L000210,C00661,CL026,2025-11-05,Call,Paid,,,2025-11-10
A00000262,L000210,C00661,CL030,2025-11-23,SMS,Rescheduled,,,2025-12-02
A00000263,L000210,C00661,CL027,2025-11-19,Field Visit,Promise to Pay,2025-11-29,141738,2025-11-24
A00000264,L000210,C00661,CL023,2025-12-13,SMS,Refused,,,2025-12-16
A00000265,L000210,C00661,CL017,2025-11-30,SMS,Promise to Pay,2025-12-01,1394326,2025-12-02
A00000266,L000210,C00661,CL029,2025-10-31,Push,Rescheduled,,,2025-11-06
A00000267,L000211,C00131,CL039,2025-10-21,Field Visit,Refused,,,2025-10-30
A00000268,L000211,C00131,CL022,2025-11-28,Call,Rescheduled,,,2025-11-29
A00000269,L000211,C00131,CL029,2025-11-10,Call,Promise to Pay,2025-11-12,3025831,2025-11-12
A00000270,L000211,C00131,CL031,2025-11-03,Call,Paid,,,2025-11-05
A00000271,L000211,C00131,CL020,2025-11-23,Call,No Answer,,,2025-12-02
A00000272,L000211,C00131,CL024,2025-10-13,Push,Paid,,,2025-10-15
A00000273,L000211,C00131,CL018,2025-11-27,Call,No Answer,,,2025-12-02
A00000274,L000215,C02092,CL008,2025-12-04,Push,Promise to Pay,2025-12-16,1070099,2025-12-08
A00000275,L000215,C02092,CL003,2025-12-30,Call,Paid,,,2026-01-02
A00000276,L000218,C00982,CL029,2025-10-25,Call,No Answer,,,2025-10-29
A00000277,L000218,C00982,CL030,2025-11-27,Field Visit,Paid,,,2025-12-05
A00000278,L000218,C00982,CL020,2025-10-16,Field Visit,No Answer,,,2025-10-24
A00000279,L000218,C00982,CL026,2025-12-08,Call,Wrong Number,,,2025-12-12
A00000280,L000218,C00982,CL026,2025-11-26,SMS,Promise to Pay,2025-12-07,1664049,2025-11-28
A00000281,L000218,C00982,CL017,2025-11-09,Call,Wrong Number,,,2025-11-13
A00000282,L000223,C01104,CL022,2025-09-18,Push,No Answer,,,2025-09-27
A00000283,L000223,C01104,CL035,2025-09-06,SMS,Rescheduled,,,2025-09-16
A00000284,L000223,C01104,CL019,2025-12-01,SMS,Promise to Pay,2025-12-13,104284,2025-12-10
A00000285,L000223,C01104,CL034,2025-11-19,Call,No Answer,,,2025-11-26
A00000286,L000223,C01104,CL024,2025-09-27,Call,Refused,,,2025-09-29
A00000287,L000223,C01104,CL034,2025-10-16,Call,No Answer,,,2025-10-17
A00000288,L000223,C01104,CL018,2025-10-03,Call,No Answer,,,2025-10-04
A00000289,L000223,C01104,CL039,2025-11-13,SMS,No Answer,,,2025-11-20
A00000290,L000223,C01104,CL040,2025-10-24,Field Visit,Paid,,,2025-10-28
A00000291,L000225,C02396,CL014,2025-12-17,Call,Refused,,,2025-12-26
A00000292,L000230,C00945,CL023,2025-12-06,Field Visit,Paid,,,2025-12-12
A00000293,L000230,C00945,CL017,2025-12-15,Call,No Answer,,,2025-12-19
A00000294,L000230,C00945,CL026,2025-12-26,Call,No Answer,,,2025-12-30
A00000295,L000231,C00867,CL016,2025-11-18,SMS,Rescheduled,,,2025-11-26
A00000296,L000231,C00867,CL026,2025-11-26,Email,Refused,,,2025-12-02
A00000297,L000231,C00867,CL019,2025-12-09,SMS,No Answer,,,2025-12-10
A00000298,L000231,C00867,CL026,2025-11-24,Call,Rescheduled,,,2025-11-25
A00000299,L000231,C00867,CL017,2025-12-02,SMS,Rescheduled,,,2025-12-05
A00000300,L000231,C00867,CL017,2025-11-27,Call,No Answer,,,2025-11-28
A00000301,L000231,C00867,CL027,2025-12-01,Field Visit,Paid,,,2025-12-04
A00000302,L000233,C00585,CL003,2025-12-31,Call,Refused,,,2026-01-01
A00000303,L000239,C02117,CL013,2025-12-30,Call,No Answer,,,2026-01-08
A00000304,L000245,C01497,CL008,2025-12-13,Call,No Answer,,,2025-12-23
A00000305,L000250,C00026,CL010,2025-12-03,Call,Wrong Number,,,2025-12-09
A00000306,L000250,C00026,CL004,2025-12-07,Call,Promise to Pay,2025-12-16,107818,2025-12-16
A00000307,L000250,C00026,CL008,2025-12-12,Push,Promise to Pay,2025-12-20,404915,2025-12-19
A00000308,L000250,C00026,CL003,2025-12-01,Call,No Answer,,,2025-12-05
A00000309,L000260,C00262,CL023,2025-12-07,Call,No Answer,,,2025-12-11
A00000310,L000260,C00262,CL029,2025-11-27,Push,Refused,,,2025-12-05
A00000311,L000260,C00262,CL030,2025-11-19,Field Visit,Wrong Number,,,2025-11-26
A00000312,L000260,C00262,CL024,2025-11-25,SMS,Promise to Pay,2025-12-03,286836,2025-12-01
A00000313,L000260,C00262,CL029,2025-12-24,Call,Promise to Pay,2026-01-03,964310,2025-12-26
