payment_id,loan_id,customer_id,payment_date,payment_amount,payment_type,payment_channel,currency
P0000040,L000011,C01073,2025-12-13,1588558,Regular,Mobile App,UZS
P0000041,L000011,C01073,2024-12-26,4066552,Regular,Branch,UZS
P0000042,L000011,C01073,2024-06-03,1106380,Regular,Mobile App,UZS
P0000043,L000011,C01073,2025-05-08,1335630,Partial,Branch,UZS
P0000044,L000011,C01073,2025-08-04,2476803,Regular,Mobile App,UZS
P0000045,L000011,C01073,2024-08-10,1087846,Regular,Branch,UZS
P0000046,L000011,C01073,2024-07-14,2593253,Regular,Mobile App,UZS
P0000047,L000011,C01073,2025-12-27,2987016,Regular,Mobile App,UZS
P0000048,L000011,C01073,2024-10-09,196393,Regular,Branch,UZS
P0000049,L000011,C01073,2024-04-23,2031669,Regular,Terminal,UZS
P0000050,L000011,C01073,2024-08-28,3122262,Regular,Mobile App,UZS
P0000051,L000011,C01073,2024-12-31,2729780,Regular,Mobile App,UZS
P0000052,L000011,C01073,2025-01-14,3370546,Partial,Terminal,UZS
P0000053,L000011,C01073,2025-01-02,2117267,Regular,Mobile App,UZS
P0000054,L000012,C01130,2024-11-18,130332,Regular,Terminal,UZS
P0000055,L000012,C01130,2024-07-16,3116878,Regular,Terminal,UZS
P0000056,L000012,C01130,2025-09-02,1326595,Regular,Branch,UZS
P0000057,L000012,C01130,2024-05-20,992639,Partial,Terminal,UZS
P0000058,L000012,C01130,2025-08-29,238800,Regular,Branch,UZS
P0000059,L000012,C01130,2024-09-01,597381,Partial,Mobile App,UZS
P0000060,L000012,C01130,2024-11-15,1478574,Regular,Mobile App,UZS
P0000061,L000012,C01130,2024-12-03,1300284,Regular,Mobile App,UZS
P0000062,L000012,C01130,2024-05-28,2389471,Regular,Mobile App,UZS
P0000063,L000012,C01130,2024-06-04,2841504,Regular,Mobile App,UZS
P0000064,L000013,C01703,2025-11-16,635945,Regular,Mobile App,UZS
P0000065,L000013,C01703,2025-06-15,1020520,Regular,Bank Transfer,UZS
P0000066,L000013,C01703,2025-09-06,884542,Partial,Mobile App,UZS
P0000067,L000013,C01703,2025-10-27,586126,Partial,Mobile App,UZS
P0000068,L000013,C01703,2025-04-18,831789,Full repayment,Terminal,UZS
P0000069,L000013,C01703,2025-11-03,570510,Regular,Bank Transfer,UZS
P0000070,L000013,C01703,2025-09-21,254250,Regular,Bank Transfer,UZS
P0000071,L000014,C00276,2025-12-20,197475,Partial,Mobile App,UZS
P0000072,L000014,C00276,2025-08-27,261660,Regular,Mobile App,UZS
P0000073,L000014,C00276,2024-12-12,1106988,Partial,Mobile App,UZS
P0000074,L000014,C00276,2025-07-20,435844,Partial,Mobile App,UZS
P0000075,L000014,C00276,2025-10-26,462240,Partial,Mobile App,UZS
P0000076,L000014,C00276,2025-01-04,840483,Partial,Mobile App,UZS
P0000077,L000014,C00276,2025-04-08,306535,Regular,Mobile App,UZS
P0000078,L000014,C00276,2025-05-04,110990,Regular,Mobile App,UZS
P0000079,L000014,C00276,2025-03-10,114213,Regular,Branch,UZS
P0000080,L000014,C00276,2025-12-13,509571,Full repayment,Mobile App,UZS
P0000081,L000014,C00276,2025-09-26,212209,Regular,Branch,UZS
P0000082,L000014,C00276,2025-10-03,719746,Regular,Branch,UZS
P0000083,L000014,C00276,2025-05-02,829208,Regular,Mobile App,UZS
P0000084,L000014,C00276,2025-08-26,146214,Full repayment,Branch,UZS
P0000085,L000015,C01948,2025-12-17,143711,Partial,Mobile App,UZS
P0000086,L000015,C01948,2024-11-04,131850,Regular,Terminal,UZS
P0000087,L000015,C01948,2025-09-20,144270,Partial,Terminal,UZS
P0000088,L000015,C01948,2025-09-17,154405,Partial,Mobile App,UZS
P0000089,L000015,C01948,2025-09-12,103030,Regular,Branch,UZS
P0000090,L000015,C01948,2025-07-15,133808,Regular,Branch,UZS
P0000091,L000015,C01948,2024-09-03,122096,Partial,Mobile App,UZS
P0000092,L000016,C01755,2025-03-04,3446767,Regular,Branch,UZS
P0000093,L000016,C01755,2025-02-04,1239208,Regular,Mobile App,UZS
P0000094,L000017,C00865,2025-12-03,670080,Partial,Mobile App,UZS
P0000095,L000017,C00865,2025-08-16,232322,Partial,Mobile App,UZS
P0000096,L000017,C00865,2025-10-01,580273,Partial,Branch,UZS
P0000097,L000017,C00865,2025-09-15,709062,Regular,Mobile App,UZS
P0000098,L000017,C00865,2025-06-15,702359,Full repayment,Branch,UZS
P0000099,L000017,C00865,2025-12-16,442930,Partial,Mobile App,UZS
P0000100,L000017,C00865,2025-08-28,1112543,Regular,Terminal,UZS
P0000101,L000018,C01852,2025-06-23,321475,Regular,Mobile App,UZS
P0000102,L000018,C01852,2025-07-04,276536,Regular,Terminal,UZS
P0000103,L000018,C01852,2025-07-03,372195,Partial,Terminal,UZS
P0000104,L000018,C01852,2025-11-02,298285,Regular,Branch,UZS
P0000105,L000018,C01852,2025-09-01,511526,Partial,Mobile App,UZS
P0000106,L000018,C01852,2025-06-18,833084,Partial,Terminal,UZS
P0000107,L000018,C01852,2025-10-04,395306,Full repayment,Mobile App,UZS
P0000108,L000019,C00841,2024-11-23,805276,Regular,Mobile App,UZS
P0000109,L000019,C00841,2025-05-28,1608561,Regular,Terminal,UZS
P0000110,L000019,C00841,2024-10-17,669608,Partial,Mobile App,UZS
P0000111,L000019,C00841,2025-03-03,1250035,Partial,Branch,UZS
P0000112,L000019,C00841,2025-02-14,4275564,Regular,Mobile App,UZS
P0000113,L000019,C00841,2025-04-02,1113972,Regular,Mobile App,UZS
P0000114,L000019,C00841,2025-12-28,2989871,Partial,Bank Transfer,UZS
P0000115,L000019,C00841,2025-09-09,954573,Regular,Mobile App,UZS
P0000116,L000019,C00841,2025-10-06,646004,Regular,Terminal,UZS
P0000117,L000019,C00841,2025-11-27,2434268,Partial,Branch,UZS
P0000118,L000019,C00841,2025-04-18,726133,Regular,Terminal,UZS
P0000119,L000020,C01290,2025-12-22,1880236,Regular,Branch,UZS
P0000120,L000020,C01290,2025-11-01,1038302,Regular,Mobile App,UZS
P0000121,L000021,C00241,2025-12-27,144237,Full repayment,Branch,UZS
P0000122,L000021,C00241,2025-12-14,136799,Partial,Mobile App,UZS
P0000123,L000021,C00241,2025-08-21,265677,Partial,Terminal,UZS
P0000124,L000021,C00241,2025-10-27,170119,Regular,Mobile App,UZS
P0000125,L000022,C00061,2025-11-19,399225,Regular,Terminal,UZS
P0000126,L000023,C00492,2025-11-15,238422,Partial,Mobile App,UZS
P0000127,L000023,C00492,2025-06-21,278612,Partial,Branch,UZS
P0000128,L000023,C00492,2025-07-31,103139,Partial,Mobile App,UZS
P0000129,L000023,C00492,2025-05-13,369524,Partial,Bank Transfer,UZS
P0000130,L000023,C00492,2025-04-19,173023,Regular,Bank Transfer,UZS
P0000131,L000023,C00492,2025-05-11,241880,Partial,Branch,UZS
P0000132,L000024,C01733,2025-12-13,824079,Regular,Terminal,UZS
P0000133,L000024,C01733,2025-09-03,359035,Partial,Branch,UZS
P0000134,L000024,C01733,2025-09-28,844292,Regular,Mobile App,UZS
P0000135,L000024,C01733,2025-09-05,229296,Regular,Branch,UZS
P0000136,L000024,C01733,2025-11-20,973036,Partial,Mobile App,UZS
P0000137,L000025,C00973,2025-02-07,111205,Partial,Mobile App,UZS
P0000138,L000025,C00973,2025-03-30,121934,Regular,Mobile App,UZS
P0000139,L000025,C00973,2025-07-14,145648,Full repayment,Terminal,UZS
P0000140,L000025,C00973,2025-12-25,109089,Regular,Terminal,UZS
P0000141,L000025,C00973,2025-08-25,119558,Partial,Bank Transfer,UZS
P0000142,L000025,C00973,2025-06-16,105561,Partial,Mobile App,UZS
P0000143,L000025,C00973,2024-12-03,128374,Regular,Terminal,UZS
P0000144,L000025,C00973,2025-02-08,117726,Regular,Bank Transfer,UZS
P0000145,L000025,C00973,2025-08-30,145263,Regular,Mobile App,UZS
P0000146,L000025,C00973,2025-02-19,101505,Regular,Terminal,UZS
P0000147,L000025,C00973,2025-09-28,147210,Regular,Terminal,UZS
P0000148,L000025,C00973,2025-01-06,117776,Regular,Terminal,UZS
P0000149,L000025,C00973,2025-02-08,112774,Regular,Mobile App,UZS
P0000150,L000025,C00973,2024-12-07,108571,Regular,Mobile App,UZS
P0000151,L000026,C01559,2025-01-19,280374,Partial,Terminal,UZS
P0000152,L000026,C01559,2025-04-24,1302156,Partial,Terminal,UZS
P0000153,L000026,C01559,2025-08-06,681075,Partial,Terminal,UZS
P0000154,L000026,C01559,2024-08-08,2930942,Regular,Branch,UZS
P0000155,L000026,C01559,2025-10-10,255529,Partial,Mobile App,UZS
P0000156,L000027,C01005,2024-11-06,332214,Regular,Mobile App,UZS
P0000157,L000027,C01005,2025-06-11,704781,Regular,Branch,UZS
P0000158,L000027,C01005,2025-10-15,466124,Regular,Branch,UZS
P0000159,L000027,C01005,2025-03-01,147977,Regular,Mobile App,UZS
P0000160,L000027,C01005,2024-09-01,1015946,Regular,Terminal,UZS
P0000161,L000027,C01005,2024-10-27,120961,Regular,Mobile App,UZS
P0000162,L000027,C01005,2025-01-27,712326,Regular,Mobile App,UZS
P0000163,L000027,C01005,2025-01-25,249920,Regular,Mobile App,UZS
P0000164,L000027,C01005,2025-04-14,696525,Regular,Terminal,UZS
P0000165,L000027,C01005,2025-05-02,937152,Partial,Mobile App,UZS
P0000166,L000028,C01544,2025-11-29,132832,Partial,Terminal,UZS
P0000167,L000028,C01544,2025-04-21,169102,Regular,Mobile App,UZS
P0000168,L000028,C01544,2025-03-11,195353,Regular,Mobile App,UZS
P0000169,L000028,C01544,2025-05-09,131528,Regular,Mobile App,UZS
P0000170,L000028,C01544,2025-12-23,147979,Partial,Mobile App,UZS
P0000171,L000028,C01544,2025-02-19,132380,Regular,Branch,UZS
P0000172,L000028,C01544,2025-10-18,135806,Regular,Mobile App,UZS
P0000173,L000028,C01544,2025-05-14,154863,Regular,Branch,UZS
P0000174,L000028,C01544,2025-06-29,128912,Partial,Bank Transfer,UZS
P0000175,L000029,C00213,2025-11-26,367600,Regular,Bank Transfer,UZS
P0000176,L000029,C00213,2025-12-30,861624,Full repayment,Bank Transfer,UZS
P0000177,L000030,C01346,2025-07-13,109293,Regular,Mobile App,UZS
P0000178,L000030,C01346,2025-08-27,152324,Regular,Terminal,UZS
P0000179,L000030,C01346,2025-09-11,175209,Regular,Mobile App,UZS
P0000180,L000031,C00128,2025-08-14,248926,Partial,Mobile App,UZS
P0000181,L000031,C00128,2025-12-26,155342,Regular,Mobile App,UZS
P0000182,L000031,C00128,2025-12-26,1709789,Partial,Mobile App,UZS
P0000183,L000032,C02157,2025-03-30,184589,Regular,Mobile App,UZS
P0000184,L000032,C02157,2024-10-04,146324,Regular,Mobile App,UZS
P0000185,L000032,C02157,2024-03-19,130069,Full repayment,Mobile App,UZS
P0000186,L000032,C02157,2024-11-02,135581,Regular,Mobile App,UZS
P0000187,L000032,C02157,2025-10-11,127743,Full repayment,Mobile App,UZS
P0000188,L000032,C02157,2025-03-02,128167,Full repayment,Mobile App,UZS
P0000189,L000032,C02157,2025-10-29,145942,Full repayment,Mobile App,UZS
P0000190,L000032,C02157,2024-03-30,247046,Regular,Mobile App,UZS
P0000191,L000032,C02157,2024-08-28,126117,Regular,Terminal,UZS
P0000192,L000033,C00364,2025-10-15,12071746,Regular,Terminal,UZS
P0000193,L000033,C00364,2025-10-23,3000066,Partial,Mobile App,UZS
P0000194,L000033,C00364,2025-11-10,3383485,Regular,Bank Transfer,UZS
P0000195,L000033,C00364,2025-09-14,872923,Regular,Mobile App,UZS
P0000196,L000033,C00364,2025-11-18,6966075,Regular,Mobile App,UZS
P0000197,L000034,C00703,2025-05-22,943445,Regular,Mobile App,UZS
P0000198,L000034,C00703,2025-07-30,1405114,Regular,Branch,UZS
P0000199,L000034,C00703,2025-04-11,1517386,Regular,Terminal,UZS
P0000200,L000035,C00718,2025-05-22,204336,Partial,Terminal,UZS
P0000201,L000035,C00718,2025-10-17,193185,Regular,Mobile App,UZS
P0000202,L000035,C00718,2025-07-20,190705,Regular,Mobile App,UZS
P0000203,L000035,C00718,2025-07-31,207009,Regular,Branch,UZS
P0000204,L000035,C00718,2025-10-11,334519,Regular,Branch,UZS
P0000205,L000035,C00718,2025-06-07,119530,Full repayment,Terminal,UZS
P0000206,L000035,C00718,2025-06-24,166885,Regular,Mobile App,UZS
P0000207,L000035,C00718,2025-10-06,258504,Regular,Mobile App,UZS
P0000208,L000036,C02138,2025-06-15,721253,Regular,Terminal,UZS
P0000209,L000036,C02138,2025-05-29,104638,Regular,Bank Transfer,UZS
P0000210,L000036,C02138,2025-09-10,829337,Regular,Mobile App,UZS
P0000211,L000036,C02138,2025-10-14,395051,Regular,Mobile App,UZS
P0000212,L000036,C02138,2025-07-21,546336,Partial,Mobile App,UZS
P0000213,L000036,C02138,2025-08-09,311894,Partial,Mobile App,UZS
P0000214,L000037,C00665,2025-05-20,356442,Full repayment,Bank Transfer,UZS
P0000215,L000037,C00665,2025-06-21,216156,Regular,Mobile App,UZS
P0000216,L000037,C00665,2025-02-02,283415,Regular,Branch,UZS
P0000217,L000038,C01091,2025-08-19,196724,Regular,Mobile App,UZS
P0000218,L000038,C01091,2025-09-13,113023,Partial,Branch,UZS
P0000219,L000038,C01091,2025-11-26,100558,Partial,Mobile App,UZS
P0000220,L000038,C01091,2025-06-18,148342,Regular,Mobile App,UZS
P0000221,L000038,C01091,2025-05-09,278977,Regular,Mobile App,UZS
P0000222,L000039,C01538,2025-04-02,6875112,Regular,Mobile App,UZS
P0000223,L000039,C01538,2025-03-15,12521840,Regular,Mobile App,UZS
P0000224,L000039,C01538,2025-08-18,3526857,Regular,Mobile App,UZS
P0000225,L000039,C01538,2025-05-02,2078639,Regular,Mobile App,UZS
P0000226,L000039,C01538,2025-04-22,6061345,Regular,Terminal,UZS
P0000227,L000039,C01538,2025-12-11,5284130,Regular,Mobile App,UZS
P0000228,L000039,C01538,2025-07-11,8685598,Partial,Terminal,UZS
P0000229,L000039,C01538,2025-08-25,2120013,Partial,Terminal,UZS
P0000230,L000039,C01538,2025-06-02,12843556,Partial,Mobile App,UZS
P0000231,L000039,C01538,2024-12-23,5617372,Regular,Mobile App,UZS
P0000232,L000039,C01538,2025-07-21,6552504,Regular,Mobile App,UZS
P0000233,L000039,C01538,2025-03-28,2758658,Regular,Branch,UZS
P0000234,L000040,C01801,2025-11-12,374079,Regular,Mobile App,UZS
P0000235,L000040,C01801,2024-11-18,1184312,Regular,Terminal,UZS
P0000236,L000040,C01801,2025-03-02,567478,Regular,Terminal,UZS
P0000237,L000040,C01801,2025-12-09,155595,Regular,Mobile App,UZS
P0000238,L000040,C01801,2025-05-31,837638,Regular,Branch,UZS
P0000239,L000040,C01801,2025-08-29,410033,Regular,Branch,UZS
P0000240,L000040,C01801,2025-07-11,1087219,Regular,Terminal,UZS
P0000241,L000040,C01801,2025-12-12,131156,Partial,Branch,UZS
P0000242,L000041,C00602,2025-12-04,1717060,Regular,Mobile App,UZS
P0000243,L000041,C00602,2025-11-08,1055978,Partial,Mobile App,UZS
P0000244,L000041,C00602,2025-12-04,1293768,Regular,Bank Transfer,UZS
P0000245,L000041,C00602,2025-09-23,624017,Regular,Terminal,UZS
P0000246,L000042,C00521,2025-12-04,1331772,Regular,Terminal,UZS
P0000247,L000042,C00521,2024-10-13,1401136,Regular,Mobile App,UZS
P0000248,L000043,C02382,2025-06-25,248560,Partial,Mobile App,UZS
P0000249,L000044,C00528,2025-07-25,102023,Regular,Bank Transfer,UZS
P0000250,L000044,C00528,2025-05-01,924004,Regular,Mobile App,UZS
P0000251,L000044,C00528,2025-05-29,240029,Regular,Mobile App,UZS
P0000252,L000044,C00528,2025-07-29,278896,Full repayment,Bank Transfer,UZS
P0000253,L000044,C00528,2025-12-01,377487,Regular,Branch,UZS
P0000254,L000044,C00528,2025-05-02,881341,Regular,Mobile App,UZS
P0000255,L000044,C00528,2025-11-16,888302,Partial,Bank Transfer,UZS
P0000256,L000044,C00528,2025-10-30,1104424,Regular,Terminal,UZS
P0000257,L000044,C00528,2025-07-12,230167,Partial,Mobile App,UZS
P0000258,L000044,C00528,2025-11-12,340498,Regular,Mobile App,UZS
P0000259,L000045,C02417,2025-12-14,290197,Regular,Terminal,UZS
P0000260,L000045,C02417,2025-10-15,117996,Regular,Bank Transfer,UZS
P0000261,L000045,C02417,2025-11-08,304613,Regular,Terminal,UZS
P0000262,L000046,C01314,2025-10-23,186993,Regular,Terminal,UZS
P0000263,L000046,C01314,2025-11-08,764786,Regular,Mobile App,UZS
P0000264,L000046,C01314,2025-06-25,291902,Regular,Branch,UZS
P0000265,L000046,C01314,2025-07-01,290452,Regular,Terminal,UZS
P0000266,L000046,C01314,2025-10-10,754908,Regular,Mobile App,UZS
P0000267,L000046,C01314,2025-08-06,475474,Regular,Mobile App,UZS
P0000268,L000046,C01314,2025-06-26,606041,Partial,Mobile App,UZS
P0000269,L000047,C00051,2025-07-07,2736925,Partial,Mobile App,UZS
P0000270,L000047,C00051,2025-11-28,1334926,Regular,Mobile App,UZS
P0000271,L000047,C00051,2025-12-31,1591406,Partial,Terminal,UZS
P0000272,L000047,C00051,2025-07-16,2618275,Regular,Branch,UZS
P0000273,L000047,C00051,2025-09-08,3857529,Regular,Branch,UZS
P0000274,L000047,C00051,2025-09-05,2077214,Regular,Terminal,UZS
P0000275,L000047,C00051,2025-05-01,1325733,Regular,Mobile App,UZS
P0000276,L000047,C00051,2024-11-01,3068292,Full repayment,Mobile App,UZS
P0000277,L000047,C00051,2025-11-22,3708538,Regular,Branch,UZS
P0000278,L000048,C00820,2025-09-03,364789,Regular,Mobile App,UZS
P0000279,L000049,C01634,2025-12-28,347857,Regular,Branch,UZS
P0000280,L000049,C01634,2025-11-25,174098,Partial,Mobile App,UZS
P0000281,L000049,C01634,2025-12-29,154240,Regular,Bank Transfer,UZS
P0000282,L000050,C00290,2024-07-10,2727560,Regular,Terminal,UZS
P0000283,L000050,C00290,2025-08-26,4316479,Regular,Bank Transfer,UZS
P0000284,L000050,C00290,2025-04-22,659939,Regular,Branch,UZS
P0000285,L000050,C00290,2025-04-20,1630875,Regular,Mobile App,UZS
P0000286,L000050,C00290,2025-09-08,1133054,Regular,Mobile App,UZS
P0000287,L000050,C00290,2025-07-17,1131402,Partial,Mobile App,UZS
P0000288,L000050,C00290,2025-06-02,9444999,Regular,Branch,UZS
P0000289,L000050,C00290,2024-06-13,6358209,Regular,Mobile App,UZS
P0000290,L000050,C00290,2025-02-15,5909459,Regular,Mobile App,UZS
P0000291,L000050,C00290,2024-05-31,440533,Regular,Mobile App,UZS
P0000292,L000050,C00290,2025-02-13,4426780,Regular,Bank Transfer,UZS
P0000293,L000050,C00290,2025-09-12,702222,Regular,Branch,UZS
P0000294,L000050,C00290,2025-01-05,7113146,Regular,Mobile App,UZS
P0000295,L000050,C00290,2025-04-17,1629934,Partial,Mobile App,UZS
P0000296,L000050,C00290,2024-06-15,7469722,Regular,Branch,UZS
P0000297,L000050,C00290,2024-11-20,1617946,Regular,Mobile App,UZS
P0000298,L000051,C01926,2025-11-27,566606,Regular,Mobile App,UZS
P0000299,L000051,C01926,2025-11-30,1541519,Partial,Mobile App,UZS
P0000300,L000051,C01926,2025-12-23,530128,Regular,Terminal,UZS
P0000301,L000051,C01926,2025-09-19,2409009,Regular,Mobile App,UZS
P0000302,L000052,C00555,2024-04-12,7306562,Regular,Terminal,UZS
P0000303,L000052,C00555,2025-02-22,4021973,Regular,Terminal,UZS
P0000304,L000052,C00555,2024-03-30,183593,Regular,Bank Transfer,UZS
P0000305,L000052,C00555,2024-03-28,2530721,Regular,Mobile App,UZS
P0000306,L000052,C00555,2025-08-02,2413870,Regular,Mobile App,UZS
P0000307,L000052,C00555,2024-05-05,6182945,Regular,Mobile App,UZS
P0000308,L000052,C00555,2024-02-16,3926191,Regular,Branch,UZS
P0000309,L000052,C00555,2024-08-10,949401,Regular,Terminal,UZS
P0000310,L000052,C00555,2024-11-19,3043665,Partial,Mobile App,UZS
P0000311,L000052,C00555,2024-07-03,3075316,Regular,Mobile App,UZS
P0000312,L000052,C00555,2024-10-19,2416114,Partial,Mobile App,UZS
P0000313,L000052,C00555,2025-03-26,4850674,Regular,Terminal,UZS
P0000314,L000052,C00555,2025-02-08,1938317,Regular,Branch,UZS
P0000315,L000052,C00555,2025-05-24,958369,Partial,Terminal,UZS
P0000316,L000052,C00555,2025-10-19,4299352,Regular,Mobile App,UZS
P0000317,L000053,C01985,2025-08-13,126585,Regular,Terminal,UZS
P0000318,L000053,C01985,2025-11-08,139787,Partial,Terminal,UZS
P0000319,L000053,C01985,2025-10-06,177299,Regular,Branch,UZS
P0000320,L000053,C01985,2025-06-29,163994,Regular,Mobile App,UZS
P0000321,L000053,C01985,2025-08-07,166847,Regular,Mobile App,UZS
P0000322,L000053,C01985,2025-09-03,132913,Regular,Branch,UZS
P0000323,L000054,C02234,2024-10-15,131083,Regular,Bank Transfer,UZS
P0000324,L000054,C02234,2025-01-01,121617,Partial,Mobile App,UZS
P0000325,L000055,C02343,2025-05-24,419841,Partial,Mobile App,UZS
P0000326,L000055,C02343,2025-12-20,382414,Regular,Mobile App,UZS
P0000327,L000055,C02343,2025-10-07,2363590,Regular,Branch,UZS
P0000328,L000055,C02343,2025-07-16,215395,Regular,Mobile App,UZS
P0000329,L000055,C02343,2025-09-15,271610,Partial,Mobile App,UZS
P0000330,L000055,C02343,2025-12-08,431271,Partial,Mobile App,UZS
P0000331,L000056,C00398,2025-09-04,661504,Regular,Terminal,UZS
P0000332,L000056,C00398,2025-12-01,1526674,Partial,Mobile App,UZS
P0000333,L000057,C02358,2024-07-24,3138897,Regular,Branch,UZS
P0000334,L000057,C02358,2024-11-29,4506854,Regular,Mobile App,UZS
P0000335,L000058,C00778,2025-07-06,414617,Partial,Mobile App,UZS
P0000336,L000058,C00778,2024-08-02,107213,Regular,Mobile App,UZS
P0000337,L000058,C00778,2025-11-16,412869,Regular,Mobile App,UZS
P0000338,L000058,C00778,2025-03-24,566929,Regular,Mobile App,UZS
P0000339,L000058,C00778,2025-08-03,598813,Regular,Branch,UZS
P0000340,L000058,C00778,2025-02-01,246245,Regular,Mobile App,UZS
P0000341,L000058,C00778,2024-10-03,856129,Partial,Mobile App,UZS
P0000342,L000058,C00778,2025-11-08,175641,Regular,Bank Transfer,UZS
P0000343,L000058,C00778,2024-09-01,347264,Regular,Mobile App,UZS
P0000344,L000058,C00778,2024-07-31,957846,Partial,Branch,UZS
P0000345,L000058,C00778,2025-02-04,791333,Regular,Bank Transfer,UZS
P0000346,L000058,C00778,2025-03-03,385106,Regular,Branch,UZS
P0000347,L000058,C00778,2025-07-12,756164,Regular,Mobile App,UZS
P0000348,L000060,C02283,2025-05-30,3720362,Partial,Mobile App,UZS
P0000349,L000060,C02283,2025-05-11,3340455,Regular,Terminal,UZS
P0000350,L000060,C02283,2025-10-09,441680,Regular,Bank Transfer,UZS
P0000351,L000060,C02283,2025-03-29,2054278,Regular,Mobile App,UZS
P0000352,L000060,C02283,2025-07-27,369441,Regular,Bank Transfer,UZS
P0000353,L000060,C02283,2025-11-06,2768635,Regular,Branch,UZS
P0000354,L000060,C02283,2025-12-31,3330938,Regular,Mobile App,UZS
P0000355,L000061,C01048,2025-07-23,1601852,Full repayment,Mobile App,UZS
P0000356,L000061,C01048,2024-12-11,491372,Partial,Branch,UZS
P0000357,L000061,C01048,2025-04-26,609454,Partial,Mobile App,UZS
P0000358,L000061,C01048,2025-07-24,1139092,Partial,Mobile App,UZS
P0000359,L000061,C01048,2024-04-29,344893,Full repayment,Mobile App,UZS
P0000360,L000061,C01048,2025-06-20,906230,Regular,Mobile App,UZS
P0000361,L000061,C01048,2024-10-02,655978,Regular,Branch,UZS
P0000362,L000061,C01048,2024-05-30,1213777,Regular,Branch,UZS
P0000363,L000061,C01048,2025-01-23,106268,Regular,Branch,UZS
P0000364,L000061,C01048,2025-05-17,2310798,Regular,Bank Transfer,UZS
P0000365,L000061,C01048,2025-12-10,1931672,Regular,Mobile App,UZS
P0000366,L000062,C01315,2025-10-10,1062366,Regular,Mobile App,UZS
P0000367,L000063,C01937,2025-01-05,782281,Full repayment,Mobile App,UZS
P0000368,L000063,C01937,2025-10-21,1552551,Partial,Terminal,UZS
P0000369,L000063,C01937,2025-11-20,427357,Partial,Mobile App,UZS
P0000370,L000063,C01937,2025-12-04,1321341,Full repayment,Mobile App,UZS
P0000371,L000064,C00613,2025-11-06,6107911,Regular,Mobile App,UZS
P0000372,L000064,C00613,2025-10-02,8269004,Regular,Mobile App,UZS
P0000373,L000064,C00613,2025-09-15,233122,Regular,Terminal,UZS
P0000374,L000064,C00613,2025-11-10,1148749,Regular,Terminal,UZS
P0000375,L000066,C00645,2025-01-06,8498927,Regular,Terminal,UZS
